_MEMBER_data_imp_1 - 94.0-96.0,_MEMBER_data_imp_1 - 96.0-98.0,_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 94.0-96.0,_LogP_data_imp_1 - 96.0-98.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-4.6,-1.6,-1.6,GO:0030335,positive regulation of cell migration,M111,3,0
1,1,1,-0.91,-0.52,-1.4,GO:0030888,regulation of B cell proliferation,M111,3,0
1,1,1,-0.59,-0.59,-1.4,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,M111,3,0
1,1,1,-3.8,-0.75,-1.8,GO:0045580,regulation of T cell differentiation,M111,3,0
1,1,1,-2.9,-1,-0.6,GO:0034109,homotypic cell-cell adhesion,M111,3,0
1,1,1,-2.7,-2.7,-1.6,GO:0072091,regulation of stem cell proliferation,M111,3,0
1,1,1,-0.91,-0.9,-1.6,GO:1903522,regulation of blood circulation,M111,3,0
1,1,1,-2.4,-0.91,-0.57,hsa04915,Estrogen signaling pathway,M111,3,0
1,1,1,-1.1,-1.1,-1.1,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,M111,3,0
1,1,1,-2.8,-0.98,-1,GO:0032944,regulation of mononuclear cell proliferation,M111,3,0
1,1,1,-0.72,-1.1,-1.1,GO:0071322,cellular response to carbohydrate stimulus,M111,3,0
1,1,1,-1.8,-0.65,-1.9,GO:0070661,leukocyte proliferation,M111,3,0
1,1,1,-1.2,-0.77,-1.7,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",M111,3,0
1,1,1,-2.2,-1,-2.2,GO:0042098,T cell proliferation,M111,3,0
1,1,1,-2.5,-0.59,-1.9,GO:0032943,mononuclear cell proliferation,M111,3,0
1,1,1,-1.3,-1.9,-0.88,R-HSA-9725370,Signaling by ALK fusions and activated point mutants,M111,3,0
1,1,1,-1.8,-1.2,-0.73,M53,PID INTEGRIN3 PATHWAY,M111,3,0
1,1,1,-2,-2,-2.1,GO:2000630,positive regulation of miRNA metabolic process,M111,3,0
1,1,1,-1.2,-0.73,-0.73,GO:0060443,mammary gland morphogenesis,M111,3,0
1,1,1,-3.9,-1.1,-2,GO:0030036,actin cytoskeleton organization,M111,3,0
1,1,1,-0.78,-0.77,-1.2,GO:0001101,response to acid chemical,M111,3,0
1,1,1,-1.6,-1.1,-2.1,WP474,Endochondral ossification,M111,3,0
1,1,1,-0.88,-0.5,-0.5,WP5293,Acute myeloid leukemia,M111,3,0
1,1,1,-0.73,-2.5,-1.2,GO:0043255,regulation of carbohydrate biosynthetic process,M111,3,0
1,1,1,-2.5,-1.3,-0.5,GO:0043536,positive regulation of blood vessel endothelial cell migration,M111,3,0
1,1,1,-1.6,-0.95,-0.97,R-HSA-9006925,Intracellular signaling by second messengers,M111,3,0
1,1,1,-1.3,-1.2,-1.8,GO:0051148,negative regulation of muscle cell differentiation,M111,3,0
1,1,1,-1.5,-2,-1.5,GO:0002088,lens development in camera-type eye,M111,3,0
1,1,1,-2.5,-0.59,-1.9,GO:0046651,lymphocyte proliferation,M111,3,0
1,1,1,-0.57,-0.57,-1.5,WP69,T cell receptor signaling pathway,M111,3,0
1,1,1,-0.57,-0.57,-0.58,R-HSA-1296071,Potassium Channels,M111,3,0
