data_imp_1 - 1.8-2.2,data_imp_1 - 4.5-5.5,data_imp_1 - 9.0-11.0,_BACKGROUND
A2M,ABCA1,A2M,A1CF
AATK,ABCB1,ACSL1,A2M
ABCA9,ACER2,ACSS3,A2MP1
ABCB1,ACSS1,ADAM28,A4GALT
ABCC4,ACSS3,ADARB1,AADACL2-AS1
ABHD3,ADAMTSL2,ADCY7,AATK
ABR,ADAMTSL3,ADGRF5,ABCA1
ABTB2,ADAP2,ALK,ABCA10
ACACB,ADARB1,ALX4,ABCA12
ACSL1,ADARB2-AS1,ANK1,ABCA2
ACSL5,ADCY2,ANKS1A,ABCA6
ACSS3,ADGRE2,APOD,ABCA8
ADAMTS9,ADGRG6,ARHGAP15,ABCA9
ADAP2,ADRA1A,ARHGAP25,ABCB1
ADARB1,ALPK1,ARHGAP6,ABCB4
ADARB2,ALX3,ARHGEF6,ABCC4
ADARB2-AS1,ANK1,ARX,ABCC9
ADCY7,ANKS1A,ASCL1,ABCG2
ADCY8,APBB1IP,ATP10B,ABHD15
ADD3-AS1,APCDD1,ATP8B4,ABHD3
ADGRD1,APMAP,BACH1,ABI3
ADGRF5,AQP4,BCL11A,ABI3BP
ADGRG1,ARHGAP42,BCL3,ABL1
ADGRG6,ARHGAP6,BCL6,ABLIM1
ADRA1B,ARNT2,BCLAF1,ABO
AEBP1,ARNTL,BLNK,ABR
AGMO,ARRB2,C1QB,ABTB2
AHCYL1,ARX,CABLES1,ACAA1
AKAP13,ASIC2,CACHD1,ACACB
AKNA,ATF3,CARD11,ACAD10
ALDH1A1,ATF6,CASC15,ACADL
ALDH1A2,ATP10A,CBFB,ACAN
ALOX5,ATP13A4,CD247,ACAP1
ALOX5AP,ATP8B4,CD34,ACER2
ALX3,B3GNT5,CD44,ACKR1
ALX4,B4GALT1,CD53,ACKR3
ANGPT1,BACH1,CD58,ACO1
ANGPTL4,BACH2,CD86,ACOT1
ANKRD22,BAG3,CD96,ACOT11
ANKS1A,BATF3,CDH5,ACP7
ANLN,BAZ1A,CEBPA,ACSBG1
ANO4,BCAN,CELF4,ACSF2
ANXA2,BCL11A,CFLAR,ACSL1
ANXA3,BCL11B,CHRDL1,ACSL5
APAF1,BCL3,CHRM2,ACSM3
APBB1IP,BCL6,CHST11,ACSM5
APCDD1,BCL6B,CHSY1,ACSS1
APMAP,BHLHE40,CLDN5,ACSS3
AR,BIN2,CLEC7A,ACTA2
ARHGAP10,BMP5,CMKLR1,ACTL6A
ARHGAP15,BMP7,CMTM7,ACVR1
ARHGAP24,BMPER,COLEC12,ACVR1C
ARHGAP25,BMPR1B,CPED1,ACVRL1
ARHGAP26,BNC2,CREB5,ADA
ARHGAP26-AS1,BTBD11,CTTNBP2NL,ADAM12
ARHGAP29,BTG1,CUX1,ADAM28
ARHGAP31,C1QA,CUX2,ADAM33
ARHGAP6,C22orf34,CYFIP1,ADAMTS1
ARHGAP9,C3AR1,CYTH4,ADAMTS12
ARHGDIB,CACNG4,CYYR1,ADAMTS14
ARHGEF4,CARD8,DENND3,ADAMTS15
ARID3A,CCDC26,DGKB,ADAMTS17
ARID5A,CCDC50,DIAPH2,ADAMTS18
ARID5B,CCDC88C,DISC1,ADAMTS19
ARL15,CCL5,DLEU1,ADAMTS20
ARL5A,CCND3,DLEU7,ADAMTS3
ARNT2,CD109,DLX1,ADAMTS4
ARNTL2,CD300A,DLX2,ADAMTS6
ARRB2,CD4,DLX5,ADAMTS7
ARX,CD53,DLX6,ADAMTS9
ATF2,CD59,DOCK2,ADAMTS9-AS1
ATF3,CD84,DOCK5,ADAMTS9-AS2
ATF5,CDH5,DPYSL3,ADAMTSL1
ATG16L2,CDH7,E2F3,ADAMTSL2
ATP10A,CDH8,EBF1,ADAMTSL3
ATP11C,CDH9,EGR1,ADAMTSL4
ATP13A4,CEBPD,ELAVL2,ADAP2
ATP8B1,CEBPG,ELF1,ADARB1
ATP8B4,CELF4,EML4,ADARB2
AXL,CHD1,EMX2OS,ADARB2-AS1
B2M,CHD7,ERG,ADCY10P1
B3GAT2,CHRNA7,ETS1,ADCY2
BACH1,CHST11,ETS2,ADCY7
BACH2,CIITA,ETV6,ADCY8
BARX2,CLEC2B,EZH2,ADD3-AS1
BATF,CLMP,FAM177B,ADGRA3
BCAR3,CMAHP,FCGR3A,ADGRD1
BCAS2,CMKLR1,FLI1,ADGRE2
BCL11A,CMTM7,FMNL3,ADGRE4P
BCL3,CNN3,FNDC3B,ADGRE5
BCL6,CNTN5,FOS,ADGRF5
BCL6B,COL27A1,FOSB,ADGRG1
BHLHE40,CPVL,FOSL2,ADGRG2
BICC1,CRIM1,FOXC1,ADGRG5
BIN2,CRYBG3,FOXL2,ADGRG6
BLNK,CSF1R,FOXO1,ADGRL2
BMP2K,CTNNA2,FOXP2,ADGRL4
BMP6,CTSB,FRMPD4,ADGRV1
BNC2,CTSS,GATA2,ADH4
BROX,CTSZ,GJA1,ADIPOR2
BTG1,CUX1,GLI3,ADIRF
BTG2,CUX2,GLIS3,ADM
BTK,CX3CR1,GLRA2,ADNP
BTN3A1,CXCR4,GNB4,ADNP2
BTNL9,CYBA,GPR34,ADORA2A-AS1
C1QA,CYFIP1,GPRIN3,ADORA2B
C1QB,CYTH4,GRIK1,ADPGK
C1QL1,DACH1,GRIK3,ADRA1A
C4orf19,DDIT4,GRIN3A,ADRA1B
CA8,DENND3,HCK,ADRB2
CACHD1,DIAPH2,HCLS1,AEBP1
CACNA2D3,DLX1,HECW1,AEBP2
CACNB2,DLX5,HERPUD1,AFAP1L1
CALB2,DOCK8,HES4,AFAP1L2
CALD1,DPP10-AS3,HGF,AFF4
CARD8,DUSP1,HIF1A,AFMID
CASS4,E2F3,HIVEP2,AFP
CCR1,EBF1,HLA-B,AGA
CD163L1,EDN1,HLA-DRA,AGAP2
CD300A,EGFEM1P,HLA-DRB1,AGBL1
CD34,EGFL7,HLF,AGBL3
CD44,EGR1,HS3ST4,AGER
CD59,ELF1,HS6ST3,AGGF1
CD74,ELOVL5,HSPA1A,AGMAT
CD83,EMB,HSPB1,AGMO
CD93,EMCN,HSPB8,AGT
CDC14A,EML4,ID3,AGTRAP
CDH12,EMP1,IFI44L,AHCTF1
CDH13,EMP2,IFNGR1,AHCY
CDH5,ENTPD1,IGFBP7,AHCYL1
CDH7,EOMES,IKZF1,AHCYL2
CDK19,EPAS1,IKZF3,AHDC1
CDKN1A,EPHA6,IL10RA,AHNAK
CEBPA,EPSTI1,IL13RA1,AHR
CEBPB,ERG,IL17RA,AIDA
CEBPD,ESAM,IL18,AIF1
CEBPG,ESR1,INPP5D,AIF1L
CERCAM,ETS1,IRF7,AIM2
CFAP47,ETS2,IRF8,AIRE
CFH,ETV6,ITGA1,AK7
CHD1,EZR,ITGAX,AKAP12
CHD7,FCGBP,ITIH5,AKAP13
CHI3L1,FGD6,ITK,AKAP3
CHST11,FGF13,ITPKB,AKNA
CHST8,FGFR1,ITPR2,AKR1A1
CIITA,FLI1,JUN,AKR1C2
CLDN5,FLT3,JUNB,AKR1D1
CLIC5,FMNL3,KCNH5,ALDH1A1
CLMP,FN1,KCNIP1,ALDH1A2
CLSTN2,FOS,KCNK13,ALDH1L1
CMAHP,FOSB,KLF10,ALDH1L1-AS2
CMTM6,FOSL2,KLF2,ALDH3B1
CNN3,FOXC1,KLF5,ALK
CNR1,FOXC2,KLF9,ALOX12P2
COL12A1,FOXD1,KYNU,ALOX15B
COL18A1,FOXF1,LAT2,ALOX5
COL1A2,FOXF2,LDLR,ALOX5AP
COL21A1,FOXJ3,LEF1,ALPK1
COL4A1,FOXK1,LHFPL2,ALPK3
COL4A2,FOXL1,LHFPL3,ALPL
COL5A3,FOXL2,LHX6,ALX3
COL6A3,FOXN2,LILRB1,ALX4
COL9A1,FOXN3,LIMS2,AMER2
COLEC12,FOXO1,LINC01088,AMOT
COTL1,FOXP2,LINC01141,AMOTL1
CP,FOXQ1,LINGO2,AMOTL2
CPE,FRAS1,LPAR6,AMZ1
CPED1,FTH1,LRFN5,AMZ2
CREB1,FTL,LRRC4C,ANGPT1
CREM,GAB3,LRRK1,ANGPT2
CRIM1,GABRG3,LY86,ANGPTL4
CRISPLD1,GAD2,LYN,ANK1
CSF1R,GALNT10,LYPD6B,ANKDD1A
CSF3R,GATA2,MAF,ANKFN1
CSGALNACT1,GATA3,MAFB,ANKRD18A
CTCF,GCNT2,MAML2,ANKRD20A11P
CTSC,GEM,MBNL2,ANKRD22
CTSS,GFAP,MBP,ANKRD30B
CTSZ,GFI1,MEF2A,ANKRD36BP1
CUX1,GLI2,MEF2C,ANKRD37
CUX2,GLIS1,MEIS2,ANKRD44
CYBA,GLIS3,MERTK,ANKRD55
CYCS,GLRA2,MFSD2A,ANKRD65
DACH1,GNA14,MIR325HG,ANKS1A
DAP,GNB4,MIR34AHG,ANKUB1
DAPP1,GOLIM4,MIR646HG,ANLN
DBP,GPC4,MPPED2,ANO2
DCLK2,GPC6,MTA3,ANO3
DCN,GPR34,MTUS2,ANO4
DDAH1,GRB2,MYEF2,ANO6
DDIT4,GRIA1,MYO10,ANOS1
DDR2,GRIK1,MYO1F,ANP32AP1
DEF6,GRIK2,MYOF,ANTXR2
DHCR24,GRIK3,NABP1,ANXA1
DHRS3,GRIN2C,NAMPT,ANXA11
DISC1,GRIN3A,NCALD,ANXA2
DISP1,GRM1,NCK2,ANXA3
DLEU1,GRM3,NFATC2,ANXA5
DLGAP1-AS5,GSG1L,NFIA,AOAH
DLX1,GTF2IRD1,NFIB,AOX1
DLX5,HAMP,NID1,APAF1
DLX6,HAVCR2,NPAS2,APBB1IP
DLX6-AS1,HCLS1,NR2F1,APCDD1
DNAJB1,HERC2P9,NR2F2,APCDD1L
DNMT3A,HES1,NR2F2-AS1,APEX1
DOCK11,HES4,NR3C1,APEX2
DOCK5,HEYL,OLIG2,APLF
DOCK8,HIF1A,OLR1,APLN
DSP,HIVEP1,P2RY12,APLNR
DUSP1,HIVEP2,PALD1,APMAP
E2F2,HIVEP3,PARP9,APOA1-AS
E2F3,HLA-A,PARVG,APOBEC2
E2F4,HLA-DMB,PBX1,APOBEC3G
E2F7,HLA-DPB1,PCAT19,APOC1
EBF1,HLA-DQB1,PCDH15,APOD
EBF2,HLA-DRA,PCDH9-AS2,APOE
EBI3,HLA-DRB1,PDGFB,APOL3
EGFR,HLF,PELI1,APOL6
EGLN3,HS3ST4,PGR,APOLD1
EGR1,HSPB8,PHLDB2,AQP1
EGR2,ID3,PIK3AP1,AQP4
EGR3,IGF1,PIK3CD,AQP4-AS1
EGR4,IGFBP7,PIK3R5,AR
EHBP1L1,IKZF1,PLA2G4A,ARFGAP1
ELAVL2,IL18R1,PLSCR1,ARG1
ELF1,IL4R,PLXNA4,ARG2
ELF2,IL6R,POU3F4,ARGFX
ELF4,IL6ST,PPARD,ARHGAP10
ELK1,IQGAP2,PPARG,ARHGAP15
ELK4,IRAK3,PRDM1,ARHGAP18
ELL2,IRF3,PREX2,ARHGAP22
ELOVL5,IRF4,PRRX1,ARHGAP24
EMB,IRF8,QRFPR,ARHGAP25
EMCN,ITGAX,RAB20,ARHGAP26
EML4,ITGB2,RAD51B,ARHGAP26-AS1
EMP1,ITPR2,RALYL,ARHGAP27
EMP2,JAG1,RASGEF1C,ARHGAP28
EMX2OS,JAK3,RB1,ARHGAP29
ENPP6,JDP2,RBFOX2,ARHGAP30
