_MEMBER_data_imp_1 - 1.8-2.2,_MEMBER_data_imp_1 - 4.5-5.5,_MEMBER_data_imp_1 - 9.0-11.0,_LogP_data_imp_1 - 1.8-2.2,_LogP_data_imp_1 - 4.5-5.5,_LogP_data_imp_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-5.5,-3.6,-3.3,GO:0007519,skeletal muscle tissue development,M111,3,0
1,1,1,-4.7,-2.6,-2.9,R-HSA-166520,Signaling by NTRKs,M111,3,0
1,1,1,-3.2,-3,-2.5,GO:0001764,neuron migration,M111,3,0
1,1,1,-8.8,-7.5,-4.6,GO:0048562,embryonic organ morphogenesis,M111,3,0
1,1,1,-12,-5.3,-4.8,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-2.7,-3.1,-2.9,WP3929,Chemokine signaling pathway,M111,3,0
1,1,1,-6.9,-6.6,-5,GO:0050678,regulation of epithelial cell proliferation,M111,3,0
1,1,1,-4.9,-3.5,-2.1,M26,PID NFKAPPAB ATYPICAL PATHWAY,M111,3,0
1,1,1,-2.2,-2.6,-2.8,GO:0032943,mononuclear cell proliferation,M111,3,0
1,1,1,-3.8,-4,-3.8,hsa05221,Acute myeloid leukemia,M111,3,0
1,1,1,-8.8,-9.2,-7.8,M167,PID AP1 PATHWAY,M111,3,0
1,1,1,-6.3,-4,-2.6,GO:0032870,cellular response to hormone stimulus,M111,3,0
1,1,1,-8.8,-5.5,-6.7,GO:0051216,cartilage development,M111,3,0
1,1,1,-5.1,-3.2,-3.3,GO:0002262,myeloid cell homeostasis,M111,3,0
1,1,1,-5.4,-4.3,-4.7,GO:0042063,gliogenesis,M111,3,0
1,1,1,-2.3,-4.9,-2.1,R-HSA-8951671,RUNX3 regulates YAP1-mediated transcription,M111,3,0
1,1,1,-8,-4.7,-3.4,hsa05166,Human T-cell leukemia virus 1 infection,M111,3,0
1,1,1,-3.6,-2.1,-2.1,WP3646,Hepatitis C and hepatocellular carcinoma,M111,3,0
1,1,1,-7.4,-4.3,-2.5,GO:0035914,skeletal muscle cell differentiation,M111,3,0
1,1,1,-4.5,-2.6,-4.6,R-HSA-9658195,Leishmania infection,M111,3,0
1,1,1,-8.3,-9.7,-7.2,GO:0070848,response to growth factor,M111,3,0
1,1,1,-8.8,-4.8,-2.7,GO:0003002,regionalization,M111,3,0
1,1,1,-2.6,-2.5,-2.8,WP363,Wnt signaling pathway,M111,3,0
1,1,1,-9.1,-5.3,-5.3,WP2849,Hematopoietic stem cell differentiation,M111,3,0
1,1,1,-2.2,-3.5,-2.5,WP1528,Physiological and pathological hypertrophy of the heart,M111,3,0
1,1,1,-8.2,-5.9,-4.8,GO:2000630,positive regulation of miRNA metabolic process,M111,3,0
1,1,1,-2.5,-5.3,-2,GO:0030509,BMP signaling pathway,M111,3,0
1,1,1,-5.2,-5.1,-2.9,GO:0022407,regulation of cell-cell adhesion,M111,3,0
1,1,1,-3.2,-2.1,-4.3,GO:0021781,glial cell fate commitment,M111,3,0
1,1,1,-3.6,-3.6,-5.1,GO:0045580,regulation of T cell differentiation,M111,3,0
1,1,1,-4,-5.5,-4.4,GO:0050863,regulation of T cell activation,M111,3,0
1,1,1,-4.4,-6.1,-2.6,GO:0042471,ear morphogenesis,M111,3,0
1,1,1,-6.5,-2.8,-2.4,GO:0002065,columnar/cuboidal epithelial cell differentiation,M111,3,0
1,1,1,-7.2,-6.7,-3.2,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M111,3,0
1,1,1,-5.1,-3.8,-5,hsa05169,Epstein-Barr virus infection,M111,3,0
1,1,1,-7,-2.4,-2.4,GO:0002066,columnar/cuboidal epithelial cell development,M111,3,0
1,1,1,-4.3,-3.2,-3,GO:0140467,integrated stress response signaling,M111,3,0
1,1,1,-3.8,-3.8,-3.7,GO:0002683,negative regulation of immune system process,M111,3,0
1,1,1,-9.1,-5.4,-3.4,GO:0007389,pattern specification process,M111,3,0
1,1,1,-5.4,-4,-3.1,GO:0050769,positive regulation of neurogenesis,M111,3,0
1,1,1,-3.8,-4.2,-4.8,GO:0022409,positive regulation of cell-cell adhesion,M111,3,0
1,1,1,-2.1,-2.8,-3.5,CORUM:2695,ETS2-FOS-JUN complex,M111,3,0
1,1,1,-8.6,-3.7,-4.8,WP236,Adipogenesis,M111,3,0
1,1,1,-5.3,-2.1,-3.4,R-HSA-187037,Signaling by NTRK1 (TRKA),M111,3,0
1,1,1,-6.5,-4.4,-3.2,GO:0034101,erythrocyte homeostasis,M111,3,0
1,1,1,-2.1,-2.8,-2.2,GO:0032675,regulation of interleukin-6 production,M111,3,0
1,1,1,-3,-3.4,-3.1,WP4844,Influence of laminopathies on Wnt signaling,M111,3,0
1,1,1,-8.4,-3.1,-3.7,GO:0008285,negative regulation of cell population proliferation,M111,3,0
1,1,1,-3,-3.7,-3.2,GO:0030183,B cell differentiation,M111,3,0
1,1,1,-6.1,-4.3,-4.4,GO:0072089,stem cell proliferation,M111,3,0
1,1,1,-4.1,-2.7,-3.3,GO:0002252,immune effector process,M111,3,0
1,1,1,-7.9,-6,-3.4,GO:0030855,epithelial cell differentiation,M111,3,0
1,1,1,-2.1,-3.1,-4.4,GO:0050851,antigen receptor-mediated signaling pathway,M111,3,0
1,1,1,-8.7,-3.3,-2.4,GO:0009725,response to hormone,M111,3,0
1,1,1,-4.1,-4.7,-2.7,GO:0071417,cellular response to organonitrogen compound,M111,3,0
1,1,1,-12,-2.5,-4,GO:0060021,roof of mouth development,M111,3,0
1,1,1,-7.6,-5.3,-5.5,GO:0071695,anatomical structure maturation,M111,3,0
1,1,1,-6.7,-5.3,-3.3,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M111,3,0
1,1,1,-6.4,-2.5,-4.7,GO:0021543,pallium development,M111,3,0
1,1,1,-8.3,-3.8,-3.7,GO:0072091,regulation of stem cell proliferation,M111,3,0
1,1,1,-4.2,-2.6,-2.4,hsa04928,"Parathyroid hormone synthesis, secretion and action",M111,3,0
1,1,1,-6.2,-5.4,-6.5,GO:0002573,myeloid leukocyte differentiation,M111,3,0
1,1,1,-2.6,-2.3,-2.1,R-HSA-8943724,Regulation of PTEN gene transcription,M111,3,0
1,1,1,-4.6,-2.2,-4.1,GO:0050728,negative regulation of inflammatory response,M111,3,0
