_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-3.1,-3.4,-5.4,GO:0030097,hemopoiesis,M111,3,0
1,1,1,-3.1,-2,-6.6,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-4.4,-3.7,-5.3,GO:0045321,leukocyte activation,M111,3,0
1,1,1,-4.3,-4.3,-6.4,GO:0001775,cell activation,M111,3,0
1,1,1,-2.7,-2.1,-3.3,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M111,3,0
1,1,1,-3.3,-2.3,-5,GO:0046649,lymphocyte activation,M111,3,0
1,1,1,-2.8,-2.4,-2.1,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M111,3,0
1,1,1,-3.8,-2.6,-3.2,WP2064,Neural crest differentiation,M111,3,0
0,1,1,0,-2.6,-3,GO:0045785,positive regulation of cell adhesion,M011,2,0
1,0,1,-2.2,0,-2.9,M279,PID RB 1PATHWAY,M101,2,0
1,0,1,-3.3,0,-5.1,GO:0021988,olfactory lobe development,M101,2,0
1,1,0,-2.8,-2.3,0,GO:0045927,positive regulation of growth,M110,2,0
1,0,1,-3.4,0,-2.7,hsa05200,Pathways in cancer,M101,2,0
1,0,1,-2.5,0,-2.5,GO:0030217,T cell differentiation,M101,2,0
0,1,1,0,-2.5,-2,GO:0030323,respiratory tube development,M011,2,0
1,0,1,-2.9,0,-2.6,GO:0050767,regulation of neurogenesis,M101,2,0
1,0,1,-2,0,-2.6,WP4540,Hippo signaling regulation pathways,M101,2,0
1,0,1,-2.4,0,-4.6,GO:0045087,innate immune response,M101,2,0
1,0,1,-3,0,-2,GO:0050777,negative regulation of immune response,M101,2,0
1,0,1,-2.9,0,-5.2,GO:0050778,positive regulation of immune response,M101,2,0
1,0,1,-2.1,0,-3.1,GO:0007507,heart development,M101,2,0
1,0,1,-3.1,0,-3.9,GO:0072089,stem cell proliferation,M101,2,0
0,1,1,0,-2.7,-2.7,GO:0050679,positive regulation of epithelial cell proliferation,M011,2,0
1,0,1,-2.2,0,-3.5,GO:0048598,embryonic morphogenesis,M101,2,0
1,0,1,-2.1,0,-2.1,hsa05224,Breast cancer,M101,2,0
1,0,1,-2.4,0,-2.1,GO:0001934,positive regulation of protein phosphorylation,M101,2,0
0,1,1,0,-2.1,-2.6,GO:0022612,gland morphogenesis,M011,2,0
1,0,1,-2.2,0,-2.5,GO:0045937,positive regulation of phosphate metabolic process,M101,2,0
0,1,1,0,-2.1,-2.7,hsa04625,C-type lectin receptor signaling pathway,M011,2,0
1,0,1,-4.6,0,-5.4,GO:0061351,neural precursor cell proliferation,M101,2,0
1,0,1,-2.8,0,-3.2,GO:0048732,gland development,M101,2,0
0,1,1,0,-3.5,-2,GO:0050678,regulation of epithelial cell proliferation,M011,2,0
1,0,1,-5.3,0,-2.6,GO:2000648,positive regulation of stem cell proliferation,M101,2,0
1,0,1,-2.9,0,-2.6,GO:0048729,tissue morphogenesis,M101,2,0
1,0,1,-2.9,0,-3.3,GO:0051960,regulation of nervous system development,M101,2,0
0,1,1,0,-2,-2.9,GO:0060541,respiratory system development,M011,2,0
0,1,1,0,-2.6,-2.9,GO:0071345,cellular response to cytokine stimulus,M011,2,0
1,0,1,-3.4,0,-2.8,GO:0035239,tube morphogenesis,M101,2,0
0,1,1,0,-2.6,-3,GO:0051251,positive regulation of lymphocyte activation,M011,2,0
1,0,1,-2.3,0,-2.9,GO:0002062,chondrocyte differentiation,M101,2,0
1,1,0,-3,-3.7,0,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),M110,2,0
1,0,1,-2.4,0,-3.2,GO:0032102,negative regulation of response to external stimulus,M101,2,0
1,0,1,-3.6,0,-2.5,WP3892,Development of pulmonary dendritic cells and macrophage subsets,M101,2,0
0,1,1,0,-2.1,-2.6,GO:0050673,epithelial cell proliferation,M011,2,0
1,0,1,-2.2,0,-2.9,WP5373,Osteoarthritic chondrocyte hypertrophy,M101,2,0
0,1,1,0,-2,-2,GO:0060379,cardiac muscle cell myoblast differentiation,M011,2,0
1,0,1,-2.2,0,-3.4,GO:0030855,epithelial cell differentiation,M101,2,0
1,0,1,-2.5,0,-2.2,GO:0002757,immune response-activating signaling pathway,M101,2,0
0,1,1,0,-2,-4.2,hsa04650,Natural killer cell mediated cytotoxicity,M011,2,0
1,0,1,-2.1,0,-2.9,GO:0002253,activation of immune response,M101,2,0
0,1,1,0,-2.2,-2.9,WP4149,White fat cell differentiation,M011,2,0
1,0,1,-2.2,0,-2.5,GO:0010562,positive regulation of phosphorus metabolic process,M101,2,0
1,0,1,-4,0,-4.9,GO:0007405,neuroblast proliferation,M101,2,0
1,0,1,-2.8,0,-2.4,GO:0002683,negative regulation of immune system process,M101,2,0
1,0,1,-2.1,0,-4.3,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M101,2,0
0,1,1,0,-2,-2.7,WP4321,Thermogenesis,M011,2,0
0,1,1,0,-2,-3.3,GO:0030099,myeloid cell differentiation,M011,2,0
1,0,1,-5.1,0,-5.1,GO:1903131,mononuclear cell differentiation,M101,2,0
1,1,0,-4.5,-2.7,0,GO:2000628,regulation of miRNA metabolic process,M110,2,0
1,1,0,-2.4,-3.1,0,R-HSA-187037,Signaling by NTRK1 (TRKA),M110,2,0
1,0,1,-3.4,0,-2.2,GO:0002764,immune response-regulating signaling pathway,M101,2,0
1,1,0,-3.9,-3.2,0,GO:2000630,positive regulation of miRNA metabolic process,M110,2,0
1,1,0,-2.2,-2.2,0,R-HSA-2559583,Cellular Senescence,M110,2,0
0,1,1,0,-2.8,-2.8,GO:1903037,regulation of leukocyte cell-cell adhesion,M011,2,0
1,0,1,-6.3,0,-3.3,GO:0072091,regulation of stem cell proliferation,M101,2,0
1,0,1,-4,0,-4.4,GO:0045165,cell fate commitment,M101,2,0
1,0,1,-2.4,0,-2.4,R-HSA-9006925,Intracellular signaling by second messengers,M101,2,0
1,0,1,-2.6,0,-4.9,GO:0002250,adaptive immune response,M101,2,0
0,1,1,0,-2.1,-2.8,hsa04970,Salivary secretion,M011,2,0
1,1,0,-2.1,-3.3,0,R-HSA-166520,Signaling by NTRKs,M110,2,0
0,1,1,0,-2.4,-2.8,GO:0050863,regulation of T cell activation,M011,2,0
1,0,1,-2.5,0,-3,GO:0031348,negative regulation of defense response,M101,2,0
1,1,0,-2.4,-2.4,0,GO:0048639,positive regulation of developmental growth,M110,2,0
1,0,1,-2.3,0,-2.9,GO:0007423,sensory organ development,M101,2,0
1,0,1,-3.9,0,-4.4,GO:0030098,lymphocyte differentiation,M101,2,0
1,0,1,-3.9,0,-3.4,hsa05166,Human T-cell leukemia virus 1 infection,M101,2,0
1,0,1,-2.1,0,-2.1,GO:0002698,negative regulation of immune effector process,M101,2,0
1,0,1,-3.4,0,-4.3,GO:0021772,olfactory bulb development,M101,2,0
0,1,1,0,-2.6,-3.4,GO:0050867,positive regulation of cell activation,M011,2,0
1,0,1,-2.5,0,-2.5,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M101,2,0
1,0,1,-2.8,0,-4.1,R-HSA-1280215,Cytokine Signaling in Immune system,M101,2,0
1,0,1,-2.6,0,-2.6,hsa05163,Human cytomegalovirus infection,M101,2,0
1,0,1,-2.4,0,-3.8,GO:0055057,neuroblast division,M101,2,0
1,0,1,-2.7,0,-3.1,GO:0051046,regulation of secretion,M101,2,0
0,1,1,0,-3.2,-3.2,GO:0002274,myeloid leukocyte activation,M011,2,0
0,1,1,0,-2.3,-4.4,hsa05169,Epstein-Barr virus infection,M011,2,0
1,0,1,-2,0,-5.9,GO:0001819,positive regulation of cytokine production,M101,2,0
1,0,1,-2.3,0,-7.2,GO:0021537,telencephalon development,M101,2,0
1,0,1,-3,0,-6.2,GO:0030900,forebrain development,M101,2,0
1,0,1,-2.1,0,-2.5,GO:0042060,wound healing,M101,2,0
0,1,1,0,-2.5,-3.8,GO:0002696,positive regulation of leukocyte activation,M011,2,0
1,0,1,-2.1,0,-2.1,WP4262,Breast cancer pathway,M101,2,0
1,0,1,-2.2,0,-2.2,GO:0001763,morphogenesis of a branching structure,M101,2,0
1,0,1,-2.2,0,-2.7,GO:0060759,regulation of response to cytokine stimulus,M101,2,0
1,1,0,-2.7,-2.7,0,GO:0090270,regulation of fibroblast growth factor production,M110,2,0
1,0,1,-2.2,0,-2.2,GO:0008356,asymmetric cell division,M101,2,0
0,1,1,0,-2.9,-3.3,GO:0050870,positive regulation of T cell activation,M011,2,0
1,0,1,-4.8,0,-4.8,GO:0002521,leukocyte differentiation,M101,2,0
1,0,1,-4.3,0,-2.2,GO:0051090,regulation of DNA-binding transcription factor activity,M101,2,0
0,1,1,0,-2.1,-2.1,GO:0030324,lung development,M011,2,0
1,0,1,-3,0,-3,GO:0002704,negative regulation of leukocyte mediated immunity,M101,2,0
0,1,1,0,-3,-3.9,GO:0022409,positive regulation of cell-cell adhesion,M011,2,0
1,0,1,-2.1,0,-2.1,GO:0002065,columnar/cuboidal epithelial cell differentiation,M101,2,0
1,0,1,-2.8,0,-2.8,WP5434,Pathways in cancer,M101,2,0
0,1,1,0,-3.1,-3.9,GO:0022407,regulation of cell-cell adhesion,M011,2,0
1,1,0,-2.9,-3.7,0,R-HSA-9031628,NGF-stimulated transcription,M110,2,0
0,1,1,0,-2.8,-3.7,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M011,2,0
0,0,1,0,0,-2.9,GO:0050954,sensory perception of mechanical stimulus,M001,1,0
